"Hub USB USB 3.1 Type-C HAMA Aluminium 135758, 2x USB-A, USB-C, 3.5 mm audio, argintiu","Hub USB USB 3.1 Type-C HAMA Aluminium 135758, 2x USB-A, USB-C, 3.5 mm audio, argintiuPentru conectarea unui PC / notebook / MacBook / tableta cu USB-C la casti / boxe printr-o mufa jack de 3.5 mm (audio) si simultan conectarea a pana la 3 alte dispoz","","109.99","Laptop - Desktop - IT","Hub USB","//afftrk.altex.ro/Counter/Click?adsx=y4UWZE+abj3dU692c+4sFg==&rd=https%3a%2f%2faltex.ro%2fhub-usb-usb-3-1-type-c-hama-aluminium-135758-2x-usb-a-usb-c-3-5-mm-audio-argintiu%2fcpd%2fHUB135758","https://cdna.altex.ro//resize/media/catalog/product/1/3/16fa6a9aef7ffd6209d5fd9338ffa0b1/135758_1_123e61ae.jpg","HUB135758","","HAMA","da","","109.99","nu"
"Espressor automat PHILIPS Seria 3000 LatteGo EP3241/50, 1.8l, 15 bari, negru","Espressor automat PHILIPS Seria 3000 LatteGo EP3241/50, 1.8l, 15 bari, negru","","2797.99","Apa - Espresso - Cafea - Suc","Expresoare cafea","//afftrk.altex.ro/Counter/Click?adsx=y4UWZE+abj3dU692c+4sFg==&rd=https%3a%2f%2faltex.ro%2fespressor-automat-philips-seria-3000-lattego-ep3241-50-1-8l-15-bari-negru%2fcpd%2fEXSEP324150","https://cdna.altex.ro//resize/media/catalog/product/E/X/16fa6a9aef7ffd6209d5fd9338ffa0b1/EXSEP324150_4_c8e57107.jpg","EXSEP324150","","PHILIPS","nu","","2797.99","nu"
"Rucsac laptop HAMA Vienna 101779, 17.3"", negru","Rucsac laptop HAMA Vienna 101779, 17.3"", negruIdeal pentru activitati in aer liber, rucsacul robust pentru laptop asigura transport convenabil, depozitare sigura si protectie impotriva murdariei, zgarieturilor si umezelii pentru laptop si accesorii.C","","249.99","Genti  si huse pentru laptop","Accesorii laptop","//afftrk.altex.ro/Counter/Click?adsx=y4UWZE+abj3dU692c+4sFg==&rd=https%3a%2f%2faltex.ro%2frucsac-laptop-hama-vienna-101779-17-3-negru%2fcpd%2fGNT101779","https://cdna.altex.ro//resize/media/catalog/product/1/0/16fa6a9aef7ffd6209d5fd9338ffa0b1/101779_1_2d9ce656.jpg","GNT101779","","HAMA","da","","249.99","nu"
"Tratament combustibil motor benzina STP 20793, 200ml","Tratament combustibil motor benzina STP 20793, 200mlMentine starea curata a carburatoarelor, injectoarelor si supapelor de introducere pentru un randament perfect de motor.  Special creat pentru imbunatatirea randamentului de motor si reducerea consu","","18.9","Aditivi si solutii","Consumabile si intretinere auto","//afftrk.altex.ro/Counter/Click?adsx=y4UWZE+abj3dU692c+4sFg==&rd=https%3a%2f%2faltex.ro%2ftratament-combustibil-motor-benzina-stp-20793-200ml%2fcpd%2fAUT20793","https://cdna.altex.ro//resize/media/catalog/product/2/0/16fa6a9aef7ffd6209d5fd9338ffa0b1/20793_a6e96adc.jpg","AUT20793","","STP","da","","18.9","nu"
"Lichid parbriz vara AD 1003, 5l","Lichid parbriz vara AD 1003, 5lSolutie gata preparata destinata parbrizelor autovehiculelor.Datorita componentilor indeparteaza murdaria de pe parbrize, se usuca rapid, are efect antistatic emanand un miros placut in interiorul masinii, oferind o viz","","12.33","Lichide intretinere","Consumabile si intretinere auto","//afftrk.altex.ro/Counter/Click?adsx=y4UWZE+abj3dU692c+4sFg==&rd=https%3a%2f%2faltex.ro%2flichid-parbriz-vara-ad-1003-5l%2fcpd%2fAUTAD1003","https://cdna.altex.ro//resize/media/catalog/product/A/D/16fa6a9aef7ffd6209d5fd9338ffa0b1/AD1003_fafef478.jpg","AUTAD1003","","AD","da","","14.5","da"
"Sistem de Stabilizare Gimbal DJI Ronin S","Sistem de Stabilizare Gimbal DJI Ronin SDock pentru accesoriiAutonomie: 12hCapacitatea de sustinere: 3.6 kgGreutate: 1.8 kgDimensiuni: 20x18x48 cmStabilizator motorizat cu trei axe. Sustine camere DSLR sau MirrorlessMotor rulat offset pentru vizibili","","3499.9","TV - Audio - Video - Foto","Trepiede","//afftrk.altex.ro/Counter/Click?adsx=y4UWZE+abj3dU692c+4sFg==&rd=https%3a%2f%2faltex.ro%2fsistem-de-stabilizare-gimbal-dji-ronin-s%2fcpd%2fTRPCPZM00010401","https://cdna.altex.ro//resize/media/catalog/product/d/j/16fa6a9aef7ffd6209d5fd9338ffa0b1/dji-ronin-s-stabilizator-de-mana-67490-1-492_7d63fd0a.jpg","TRPCPZM00010401","","DJI","nu","","3499.9","nu"
"Rucsac laptop TELLUR Business XL, cu port USB, 17.3"", negru","Rucsac laptop TELLUR Business XL, cu port USB, 17.3"", negruRucsacul la nevoie se cunoaste mai ales daca te ajuta sa iti reincarci bateriile dispozitivelor tale cu ajutorul portului USB integrat. Elegant si confortabil de purtat, interiorul este cupri","","199.99","Accesorii laptop","Laptop - Desktop - IT","//afftrk.altex.ro/Counter/Click?adsx=y4UWZE+abj3dU692c+4sFg==&rd=https%3a%2f%2faltex.ro%2frucsac-laptop-tellur-business-xl-cu-port-usb-17-3-negru%2fcpd%2fGNTTLL611252","https://cdna.altex.ro//resize/media/catalog/product/T/L/16fa6a9aef7ffd6209d5fd9338ffa0b1/TLL611252_01_45754f25.jpg","GNTTLL611252","","TELLUR","da","","199.99","nu"
"Hub USB USB 3.1 Type-C HAMA Aluminium 135757, 2 x USB-A, USB-C, LAN, argintiu","Hub USB USB 3.1 Type-C HAMA Aluminium 135757, 2 x USB-A, USB-C, LAN, argintiuPentru conectarea unui PC / notebook / MacBook / tableta cu USB-C la un internet / retea prin LAN (RJ45) si simultan conectarea de pana la 3 alte dispozitive USB;Rata de tra","","119.99","Hub USB","Periferice si accesorii IT","//afftrk.altex.ro/Counter/Click?adsx=y4UWZE+abj3dU692c+4sFg==&rd=https%3a%2f%2faltex.ro%2fhub-usb-usb-3-1-type-c-hama-aluminium-135757-2-x-usb-a-usb-c-lan-argintiu%2fcpd%2fHUB135757","https://cdna.altex.ro//resize/media/catalog/product/1/3/16fa6a9aef7ffd6209d5fd9338ffa0b1/135757_1_2cf75845.jpg","HUB135757","","HAMA","da","","119.99","nu"
"Mouse Wireless CANYON CNE-CMSW02, 1600 dpi, negru","Mouse Wireless CANYON CNE-CMSW02Un mouse clasic si fiabil. Va veti simti confortabil indiferent daca il folositi cu mana stanga sau cu cea dreapta. Nu veti simti oboseala mainii nici dupa cateva ore de utilizare. Cele 4 butoane sunt facute din materi","","16.9","Mouse","Periferice si accesorii IT","//afftrk.altex.ro/Counter/Click?adsx=y4UWZE+abj3dU692c+4sFg==&rd=https%3a%2f%2faltex.ro%2fmouse-wireless-canyon-cne-cmsw02-1600-dpi-negru%2fcpd%2fMOUCNECMSW02B","https://cdna.altex.ro//resize/media/catalog/product/M/O/16fa6a9aef7ffd6209d5fd9338ffa0b1/MOUCNECMSW02B_3_e488829c.jpg","MOUCNECMSW02B","","CANYON","nu","","16.9","nu"
"Mouse Wireless CANYON CNS-CMSW7R, 1600 dpi, rosu-negru","Mouse Wireless CANYON CNS-CMSW7RNu va mai bateti capul cu schimbarea bateriilor – pentru acest mouse nu aveti nevoie de ele! Folosirea acestui mouse wireless este mult mai confortabila si usoara, pentru ca in loc sa schimati bateriile il puteti incar","","45.97","Laptop - Desktop - IT","Mouse","//afftrk.altex.ro/Counter/Click?adsx=y4UWZE+abj3dU692c+4sFg==&rd=https%3a%2f%2faltex.ro%2fmouse-wireless-canyon-cns-cmsw7r-1600-dpi-rosu-negru%2fcpd%2fMOUCNCMSW7R","https://cdna.altex.ro//resize/media/catalog/product/C/N/16fa6a9aef7ffd6209d5fd9338ffa0b1/CNS-CMSW7R_0fe6d0e0.jpg","MOUCNCMSW7R","","CANYON","da","","48.9","da"
"Mouse Wireless CANYON CNR-MSOW06B, 1600 dpi, negru","Mouse Wireless CANYON CNR-MSOW06BPentru a va bucura de mai multa libertate atunci lucrati pe notebook sau pe PC, acest mouse fara fir este solutia perfecta pentru a evita aglomerarea de fire pe birou. Tehnologie laser avansata de 2.4 GHz, rezolutie c","","22.9","Mouse","Periferice si accesorii IT","//afftrk.altex.ro/Counter/Click?adsx=y4UWZE+abj3dU692c+4sFg==&rd=https%3a%2f%2faltex.ro%2fmouse-wireless-canyon-cnr-msow06b-1600-dpi-negru%2fcpd%2fMOUCNRMSOW06B","https://cdna.altex.ro//resize/media/catalog/product/M/O/16fa6a9aef7ffd6209d5fd9338ffa0b1/MOUCNRMSOW06B_2_b999e3fe.jpg","MOUCNRMSOW06B","","CANYON","da","","22.9","nu"
"Mouse Wireless CANYON CNS-CMSW01B, 1600 dpi, negru","Mouse Wireless CANYON CNS-CMSW01BAcest mouse wireless e conceput pentru utilitate si performanta. Senzorul sau cu LED albastru ajuta la extinderea duratei de viata a bateriei cu pana la 20% si functioneaza mult mai precis decat un senzor obisnuit ros","","25.9","Mouse","Periferice si accesorii IT","//afftrk.altex.ro/Counter/Click?adsx=y4UWZE+abj3dU692c+4sFg==&rd=https%3a%2f%2faltex.ro%2fmouse-wireless-canyon-cns-cmsw01b-1600-dpi-negru%2fcpd%2fMOUCNSCMSW01B","https://cdna.altex.ro//resize/media/catalog/product/M/O/16fa6a9aef7ffd6209d5fd9338ffa0b1/MOUCNSCMSW01B_1_b5fd5e82.jpg","MOUCNSCMSW01B","","CANYON","nu","","25.9","nu"
"Tastatura cu fir CANYON CNS-HKB2-US, USB, Layout US, negru","Tastatura cu fir CANYON CNS-HKB2-US, negruSimplu este mereu la moda. Descoperiti o tastatura slim cu functii de baza pentru cei care iubesc simplicitatea.","","37.9","Laptop - Desktop - IT","Tastatura calculator","//afftrk.altex.ro/Counter/Click?adsx=y4UWZE+abj3dU692c+4sFg==&rd=https%3a%2f%2faltex.ro%2ftastatura-cu-fir-canyon-cns-hkb2-us-usb-layout-us-negru%2fcpd%2fTASCNSHKB2US","https://cdna.altex.ro//resize/media/catalog/product/C/N/16fa6a9aef7ffd6209d5fd9338ffa0b1/CNS-HKB2-US_1_4189d5f0.jpg","TASCNSHKB2US","","CANYON","da","","37.9","nu"
"Casti PROMATE Natty, microfon, in ear, cu fir, albastru","Căști sportive universale, cu fixare peste ureche, Promate Natty, BlueAscultați melodiile preferate cu sunet de înaltă calitate cu ajutorul acestui set de căști Natty. Cablul audio ce nu se încurcă împreună cu sistemul de prindere special creat pentr","","24.99","Casti audio In-Ear","Telefoane - Tablete","//afftrk.altex.ro/Counter/Click?adsx=y4UWZE+abj3dU692c+4sFg==&rd=https%3a%2f%2faltex.ro%2fcasti-promate-natty-microfon-in-ear-cu-fir-albastru%2fcpd%2fACSNATTYBL","https://cdna.altex.ro//resize/media/catalog/product/A/C/16fa6a9aef7ffd6209d5fd9338ffa0b1/ACSNATTYBL_2_285ecece.jpg","ACSNATTYBL","","PROMATE","da","","24.99","nu"
"Casti PROMATE Natty, microfon, in ear, cu fir, rosu","Căști sportive universale, cu fixare peste ureche, Promate Natty, RedAscultați melodiile preferate cu sunet de înaltă calitate cu ajutorul acestui set de căști Natty. Cablul audio ce nu se încurcă împreună cu sistemul de prindere special creat pentru","","19.99","Casti audio telefon","Casti audio In-Ear","//afftrk.altex.ro/Counter/Click?adsx=y4UWZE+abj3dU692c+4sFg==&rd=https%3a%2f%2faltex.ro%2fcasti-promate-natty-microfon-in-ear-cu-fir-rosu%2fcpd%2fACSNATTYRD","https://cdna.altex.ro//resize/media/catalog/product/A/C/16fa6a9aef7ffd6209d5fd9338ffa0b1/ACSNATTYRD_5429eaad.jpg","ACSNATTYRD","","PROMATE","da","","24.99","da"
"Casti PROMATE Natty, microfon, in ear, cu fir, galben","Căști sportive universale, cu fixare peste ureche, Promate Natty, YellowAscultați melodiile preferate cu sunet de înaltă calitate cu ajutorul acestui set de căști Natty. Cablul audio ce nu se încurcă împreună cu sistemul de prindere special creat pen","","24.99","Casti audio telefon","Casti audio In-Ear","//afftrk.altex.ro/Counter/Click?adsx=y4UWZE+abj3dU692c+4sFg==&rd=https%3a%2f%2faltex.ro%2fcasti-promate-natty-microfon-in-ear-cu-fir-galben%2fcpd%2fACSNATTYYL","https://cdna.altex.ro//resize/media/catalog/product/A/C/16fa6a9aef7ffd6209d5fd9338ffa0b1/ACSNATTYYL_90c40dce.jpg","ACSNATTYYL","","PROMATE","da","","24.99","nu"
"Casti PROMATE Snazzy, microfon, in ear, cu fir, albastru","Căști stereo sportive universale, Promate Snazzy, BlueAscultați melodiile preferate cu sunet de înaltă calitate cu ajutorul acestui set de căști Snazzy. Cablul audio ce nu se încurcă împreună cu sistemul de prindere special creat pentru prinderea pe ","","26.99","Casti audio telefon","Casti audio In-Ear","//afftrk.altex.ro/Counter/Click?adsx=y4UWZE+abj3dU692c+4sFg==&rd=https%3a%2f%2faltex.ro%2fcasti-promate-snazzy-microfon-in-ear-cu-fir-albastru%2fcpd%2fACSSNAZZYBL","https://cdna.altex.ro//resize/media/catalog/product/A/C/16fa6a9aef7ffd6209d5fd9338ffa0b1/ACSSNAZZYBL_ec7cf23c.jpg","ACSSNAZZYBL","","PROMATE","da","","26.99","nu"
"Casti PROMATE Solix-1, in ear, Bluetooth, Black","Casti stereo Wireless Multi-point cu tehnologia digitala de reducere a zgomotului de fundal, Promate Solix-1, BlackConstruit pentru antrenamente intense: proiectat pentru a se bloca si a ramane in siguranta in ureche pe parcursul antrenamentului;Rezi","","149.99","Telefoane - Tablete","Casti Bluetooth In-Ear & Neckband","//afftrk.altex.ro/Counter/Click?adsx=y4UWZE+abj3dU692c+4sFg==&rd=https%3a%2f%2faltex.ro%2fcasti-promate-solix-1-in-ear-bluetooth-black%2fcpd%2fACSSOLIX1BK","https://cdna.altex.ro//resize/media/catalog/product/A/C/16fa6a9aef7ffd6209d5fd9338ffa0b1/ACSSOLIX1BK_2_85d78169.jpg","ACSSOLIX1BK","","PROMATE","da","","149.99","nu"
"Casti PROMATE Swish, microfon, in ear, cu fir, rosu","Casti stereo in-ear universale, Promate Swish, rosuAsculta-ti playlist-ul preferat pentru antrenament la calitatea cristalului cu Swish. Cablul anti-incurcare cu microfon incorporat si buton pentru apelare pe fir asigura un antrenament fara intrerupe","","29.99","Casti audio telefon","Casti audio In-Ear","//afftrk.altex.ro/Counter/Click?adsx=y4UWZE+abj3dU692c+4sFg==&rd=https%3a%2f%2faltex.ro%2fcasti-promate-swish-microfon-in-ear-cu-fir-rosu%2fcpd%2fACSSWISHRD","https://cdna.altex.ro//resize/media/catalog/product/A/C/16fa6a9aef7ffd6209d5fd9338ffa0b1/ACSSWISHRD_3ab54288.jpg","ACSSWISHRD","","PROMATE","da","","29.99","nu"
"Casti TELLUR Trendy Strip Line, microfon, in ear, cu fir, albastru","Castile audio Tellur sunt perfecte pentru a asculta muzica preferata de pe telefonul mobil, avand in acelasi timp un design modern. Varietatea de culori le fac sa fie un accesoriu la moda care poate fi usor asortat oricarei tinute.","","19.9","Casti audio telefon","Casti audio In-Ear","//afftrk.altex.ro/Counter/Click?adsx=y4UWZE+abj3dU692c+4sFg==&rd=https%3a%2f%2faltex.ro%2fcasti-tellur-trendy-strip-line-microfon-in-ear-cu-fir-albastru%2fcpd%2fACSTLL162021","https://cdna.altex.ro//resize/media/catalog/product/A/C/16fa6a9aef7ffd6209d5fd9338ffa0b1/ACSTLL162021_cd6fbd4d.jpg","ACSTLL162021","","TELLUR","da","","19.9","nu"
